Time[ms] CO2[ppm] O2[bar] P[bar] T[C]
234734 360.00 204.80 978.00 28.70
235402 360.00 204.80 978.00 28.70
236070 350.00 204.80 978.00 28.70
236738 360.00 204.80 978.00 28.70
237409 360.00 204.80 978.00 28.70
238077 360.00 204.80 978.00 28.70
238745 360.00 204.80 978.00 28.60
239413 360.00 204.80 978.00 28.60
240081 360.00 204.80 978.00 28.60
240749 360.00 204.80 978.00 28.70
241417 360.00 204.80 978.00 28.70
242085 360.00 204.80 978.00 28.60
242754 360.00 204.80 978.00 28.70
243421 380.00 204.80 978.00 28.70
244089 360.00 204.80 978.00 28.70
244757 360.00 204.80 978.00 28.70
245424 360.00 204.80 978.00 28.70
246092 340.00 204.80 978.00 28.60
246760 340.00 204.80 978.00 28.60
247430 340.00 204.80 978.00 28.60
248098 340.00 204.80 978.00 28.60
248766 340.00 204.80 978.00 28.60
249434 350.00 204.80 978.00 28.60
250102 340.00 204.80 978.00 28.60
250770 340.00 204.80 978.00 28.60
251438 330.00 204.80 978.00 28.60
252106 320.00 204.80 978.00 28.70
252774 320.00 204.80 978.00 28.70
253442 310.00 204.80 978.00 28.70
254111 310.00 204.80 978.00 28.70
254779 310.00 204.80 978.00 28.70
255447 320.00 204.80 978.00 28.70
256116 340.00 204.80 978.00 28.70
256784 340.00 204.80 978.00 28.60
257455 340.00 204.80 978.00 28.60
258124 350.00 204.80 978.00 28.70
258792 350.00 204.80 978.00 28.60
259460 340.00 204.80 978.00 28.60
260129 340.00 204.80 978.00 28.60
260797 330.00 204.80 978.00 28.60
261465 330.00 204.80 978.00 28.60
262133 330.00 204.80 978.00 28.70
262801 340.00 204.80 978.00 28.60
263469 340.00 204.80 978.00 28.60
264138 360.00 204.80 978.00 28.60
264806 350.00 204.80 978.00 28.60
265474 350.00 204.80 978.00 28.60
266142 350.00 204.80 978.00 28.60
266810 340.00 204.80 978.00 28.70
267481 340.00 204.80 978.00 28.70
268150 340.00 204.80 978.00 28.60
268817 340.00 204.80 978.00 28.60
269485 340.00 204.80 978.00 28.60
270154 340.00 204.80 978.00 28.70
270821 340.00 204.80 978.00 28.60
271489 330.00 204.80 978.00 28.60
272158 320.00 204.80 978.00 28.60
272826 320.00 204.80 978.00 28.60
273494 340.00 204.80 978.00 28.60
274162 340.00 204.80 978.00 28.60
274829 340.00 204.80 978.00 28.60
275497 340.00 204.90 978.00 28.60
276166 340.00 204.80 978.00 28.60
276832 340.00 204.80 978.00 28.60
277500 340.00 204.90 978.00 28.60
278172 330.00 204.90 978.00 28.70
278839 330.00 204.90 978.00 28.70
279507 330.00 204.90 978.00 28.60
280175 340.00 204.90 978.00 28.60
280842 330.00 204.90 978.00 28.60
281510 330.00 204.90 978.00 28.60
282178 330.00 204.90 978.00 28.60
282846 330.00 204.90 978.00 28.60
283514 340.00 204.90 978.00 28.60
284182 340.00 204.90 978.00 28.60
284850 340.00 204.90 978.00 28.60
285518 340.00 204.90 978.00 28.60
286187 340.00 204.90 978.00 28.60
286855 350.00 204.90 978.00 28.60
287523 340.00 204.90 978.00 28.60
288195 340.00 204.90 978.00 28.60
288863 340.00 204.90 978.00 28.60
289531 350.00 204.90 978.00 28.60
290199 360.00 204.90 978.00 28.60
290867 360.00 204.90 978.00 28.60
291536 350.00 204.90 978.00 28.60
292204 350.00 204.90 978.00 28.60
292872 360.00 204.90 978.00 28.60
293541 360.00 204.90 978.00 28.60
294209 370.00 204.90 978.00 28.60
294877 370.00 204.90 978.00 28.60
295545 370.00 204.90 978.00 28.50
296214 360.00 204.90 978.00 28.50
296882 360.00 204.90 978.00 28.50
297550 350.00 204.90 978.00 28.60
298221 360.00 204.90 978.00 28.50
298889 360.00 204.90 978.00 28.50
299557 360.00 204.90 978.00 28.60
300225 380.00 204.90 978.00 28.60
300893 380.00 204.90 978.00 28.60
301562 380.00 204.80 978.00 28.50
302229 380.00 204.80 978.00 28.60
302897 380.00 204.80 978.00 28.60
303566 390.00 204.80 978.00 28.60
304233 380.00 204.80 978.00 28.50
304901 380.00 204.80 978.00 28.50
305570 380.00 204.80 978.00 28.50
306237 360.00 204.80 978.00 28.50
306905 350.00 204.80 978.00 28.60
307574 340.00 204.90 978.00 28.50
308244 320.00 204.90 978.00 28.50
308911 310.00 204.90 978.00 28.50
309580 310.00 204.90 978.00 28.60
310248 310.00 204.90 978.00 28.60
310915 310.00 204.90 978.00 28.60
311583 310.00 204.90 978.00 28.60
312251 300.00 204.90 978.00 28.60
312918 300.00 204.90 978.00 28.50
313586 310.00 204.90 978.00 28.50
314254 300.00 204.90 978.00 28.50
314922 300.00 204.90 978.00 28.60
315590 300.00 204.90 978.00 28.50
316258 310.00 204.90 978.00 28.50
316926 320.00 204.90 978.00 28.60
317595 320.00 204.90 978.00 28.50
318266 320.00 204.90 978.00 28.50
318934 310.00 204.80 978.00 28.60
319603 320.00 204.80 978.00 28.60
320271 310.00 204.80 978.00 28.60
320939 290.00 204.80 978.00 28.50
321607 280.00 204.80 978.00 28.50
322276 270.00 204.80 978.00 28.50
322944 270.00 204.80 978.00 28.50
323612 270.00 204.80 978.00 28.50
324280 290.00 204.80 978.00 28.50
324948 290.00 204.80 978.00 28.50
325617 300.00 204.90 978.00 28.50
326285 310.00 204.90 978.00 28.50
326953 310.00 204.90 978.00 28.50
327622 310.00 204.90 978.00 28.50
328302 310.00 204.90 978.00 28.50
328970 310.00 204.90 978.00 28.40
329639 310.00 204.90 978.00 28.50
330307 280.00 204.90 978.00 28.50
330975 280.00 204.90 978.00 28.50
331644 290.00 204.90 978.00 28.50
332311 300.00 204.90 978.00 28.50
332979 310.00 204.90 978.00 28.50
333648 310.00 204.90 978.00 28.50
334316 300.00 204.90 978.00 28.50
334984 300.00 204.90 978.00 28.50
335652 310.00 204.90 978.00 28.50
336328 320.00 204.90 978.00 28.50
337004 320.00 204.90 978.00 28.50
337680 320.00 204.90 978.00 28.50
338358 310.00 204.90 978.00 28.50
339027 310.00 204.90 978.00 28.50
339695 300.00 204.90 978.00 28.50
340363 290.00 204.90 978.00 28.50
341031 290.00 204.90 978.00 28.50
341699 300.00 204.90 978.00 28.40
342367 300.00 204.90 978.00 28.40
343036 290.00 204.90 978.00 28.50
343703 260.00 204.90 978.00 28.50
344370 260.00 204.90 978.00 28.50
345039 260.00 204.90 978.00 28.40
345707 270.00 204.90 978.00 28.40
346374 280.00 204.90 978.00 28.50
347042 290.00 204.90 978.00 28.50
347710 290.00 204.90 978.00 28.50
348380 290.00 204.90 978.00 28.40
349049 290.00 204.90 978.00 28.40
349716 290.00 204.90 978.00 28.40
350384 290.00 204.90 978.00 28.50
351052 300.00 204.90 978.00 28.40
351720 290.00 204.90 978.00 28.40
352388 300.00 204.90 978.00 28.40
353057 300.00 204.90 978.00 28.50
353725 300.00 204.90 978.00 28.50
354393 310.00 204.90 979.00 28.40
355061 320.00 204.90 979.00 28.40
355730 320.00 204.90 979.00 28.40
356398 320.00 204.90 979.00 28.50
357066 310.00 204.90 979.00 28.50
357734 300.00 204.90 979.00 28.50
358406 300.00 204.90 978.00 28.50
359074 300.00 204.90 978.00 28.50
359742 310.00 204.90 978.00 28.50
360410 320.00 204.90 978.00 28.50
361079 320.00 204.90 978.00 28.40
361747 330.00 204.90 978.00 28.40
362415 320.00 204.90 978.00 28.40
363084 310.00 204.90 978.00 28.40
363752 320.00 204.90 978.00 28.40
364420 320.00 204.90 978.00 28.40
365089 330.00 204.90 978.00 28.50
365757 330.00 204.90 978.00 28.50
366425 320.00 204.90 978.00 28.40
367094 320.00 204.90 978.00 28.40
367761 340.00 204.90 978.00 28.40
368432 360.00 204.90 978.00 28.40
369101 360.00 204.90 978.00 28.40
369769 360.00 204.90 978.00 28.40
370437 360.00 204.90 978.00 28.50
371105 360.00 204.90 978.00 28.50
371773 360.00 204.90 978.00 28.50
372441 360.00 204.90 978.00 28.40
373109 350.00 204.90 978.00 28.50
373777 340.00 204.90 978.00 28.50
374445 340.00 204.90 978.00 28.50
375113 350.00 204.90 978.00 28.50
375781 340.00 204.90 978.00 28.40
376449 340.00 204.90 978.00 28.40
377117 340.00 204.90 978.00 28.40
377784 340.00 205.00 978.00 28.40
378455 330.00 205.00 978.00 28.40
379123 340.00 205.00 978.00 28.40
379791 360.00 204.90 978.00 28.40
380459 360.00 204.90 978.00 28.40
381126 360.00 204.90 978.00 28.40
381793 350.00 204.90 978.00 28.40
382462 340.00 204.90 978.00 28.40
383130 340.00 204.90 978.00 28.40
383797 350.00 204.90 978.00 28.40
384466 350.00 204.90 978.00 28.40
385134 360.00 204.90 978.00 28.40
385802 380.00 204.90 978.00 28.50
386470 370.00 204.90 978.00 28.40
387139 360.00 204.90 978.00 28.40
387807 380.00 204.90 978.00 28.40
